id,movie_name,original_name,vote_average
755898,War of the Worlds,War of the Worlds,4.2
1061474,Superman,Superman,7.583
575265,Mission: Impossible - The Final Reckoning,Mission: Impossible - The Final Reckoning,7.23
1382406,Striking Rescue,çœ‹æ·«çš„æ€§äº¤ç‰‡ç½‘ï¼š448ğŸ–ğŸ°ğŸ²ğŸµ.com,7.7
1234821,Jurassic World Rebirth,Jurassic World Rebirth,6.378
1241470,Osiris,Osiris,6.525
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,åŠ‡å ´ç‰ˆã€Œé¬¼æ»…ã®åˆƒã€ç„¡é™åŸç·¨ ç¬¬ä¸€ç«  çŒ—çª©åº§å†æ¥,7.2
1087192,How to Train Your Dragon,How to Train Your Dragon,8.0
1175942,The Bad Guys 2,The Bad Guys 2,7.69
1319895,Hostile Takeover,Hostile Takeover,7.929
936108,Smurfs,Smurfs,6.127
1185528,Legends of the Condor Heroes: The Gallants,å°„é›•è‹±é›„ä¼ ï¼šä¾ ä¹‹å¤§è€…,6.637
1078605,Weapons,Weapons,7.537
1022787,Elio,Elio,6.9
1106289,The Pickup,The Pickup,6.53
986206,Night Carnage,Night Carnage,5.925
1195631,çœ‹æ·«çš„æ€§äº¤ç‰‡ç½‘ï¼š448ğŸ–ğŸ°ğŸ²ğŸµ.com,çœ‹æ·«çš„æ€§äº¤ç‰‡ç½‘ï¼š448ğŸ–ğŸ°ğŸ²ğŸµ.com,6.4
1443260,Rob1n,Rob1n,5.173
617126,The Fantastic 4: First Steps,The Fantastic 4: First Steps,7.2
803796,KPop Demon Hunters,KPop Demon Hunters,8.41
